"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"656","Donovan Sebrango","FLA, OTT","D","42","597.53333333333","0","8","5","3","8","29.63","30","0.00","1.13","94","58","15","1","1","6","68","20","14","4","2","10","27","5","75","68","28","0","0","-"
"668","Yan Kuznetsov","CGY","D","57","994.75","3","5","3","2","8","25.81","60","5.00","1.94","128","77","26","2","0","10","26","9","8","0","1","1","58","6","74","99","87","0","0","-"
"688","Ilya Solovyov","COL, PIT","D","30","372.43333333333","1","7","3","4","8","40.00","23","4.35","0.82","68","41","17","2","1","4","14","7","7","0","0","1","19","5","33","59","31","0","0","-"
"720","Ryan Ufko","NSH","D","18","217.8","2","6","1","5","8","80.00","8","25.00","0.52","23","13","8","3","0","1","6","3","3","0","0","0","10","1","10","12","12","0","0","-"
"725","Logan Mailloux","STL","D","67","1000","4","4","2","2","8","24.24","74","5.41","3.27","171","109","36","13","3","17","48","21","19","2","0","13","66","17","92","131","50","0","0","-"
"767","Lian Bichsel","DAL","D","50","720.3","4","4","2","2","8","29.63","26","15.38","1.29","87","41","22","3","0","11","37","17","16","1","0","13","36","12","131","103","37","0","0","-"
"807","Reid Schaefer","NSH","L","47","445.53333333333","6","2","1","1","8","88.89","38","15.79","4.41","81","57","41","25","0","5","17","7","6","1","0","8","18","4","108","47","30","1","7","12.50"
"824","Stephen Halliday","OTT","C","30","192.9","4","4","2","2","8","88.89","28","14.29","2.51","46","35","31","17","0","5","2","1","1","0","0","2","11","2","30","28","8","23","38","37.70"
"834","Alex Bump","PHI","L","17","193.48333333333","4","4","0","4","8","114.29","19","21.05","2.39","44","32","24","10","0","3","0","0","0","0","0","1","12","3","16","14","6","0","1","0.00"
"862","Lenni Hameenaho","N.J","R","33","380.31666666667","2","6","5","1","8","53.33","45","4.44","4.06","87","73","37","15","2","9","14","6","6","0","0","7","12","6","18","43","16","0","5","0.00"
"11","Jeff Petry","FLA, MIN","D","67","874.58333333333","0","7","5","2","7","21.88","48","0.00","2.42","138","84","34","5","4","11","22","11","11","0","0","2","51","9","61","110","56","0","0","-"
"29","Luke Schenn","BUF, WPG","D","50","594.83333333333","1","6","3","3","7","41.18","32","3.13","0.9","91","53","16","1","2","5","39","12","7","5","0","7","43","4","144","61","43","0","0","-"
"37","Gustav Nyquist","WPG","R","51","512.66666666667","1","6","2","4","7","63.64","47","2.13","5.5","83","64","53","22","1","11","10","5","5","0","0","5","22","11","27","32","19","7","9","43.75"
"72","Calle Jarnkrok","TOR","C","56","518.36666666667","5","2","2","0","7","58.33","39","12.82","3.14","69","57","30","15","1","5","6","3","3","0","0","3","18","4","33","34","7","15","15","50.00"
"162","Matt Grzelcyk","CHI","D","69","1036.8","0","7","6","1","7","15.56","60","0.00","1.47","139","104","15","0","0","5","32","11","10","0","1","4","41","19","25","77","51","0","0","-"
"218","Brett Pesce","N.J","D","37","631.18333333333","1","6","4","2","7","46.67","45","2.22","2.36","87","65","31","9","1","5","6","3","3","0","0","5","20","12","10","56","54","0","0","-"
"238","Joel Hanley","CGY","D","68","905.83333333333","0","7","1","6","7","26.92","43","0.00","1.63","116","75","30","4","1","9","42","13","10","2","1","5","53","10","38","156","73","0","0","-"
"294","Frank Vatrano","ANA","R","50","504.11666666667","4","3","2","1","7","46.67","71","5.63","6.11","126","101","60","24","1","8","38","12","9","2","1","9","16","4","80","27","20","5","8","38.46"
