"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"218","Anthony Mantha","PIT","R","81","186.48333333333","7","6","3","3","13","50.00","35","20.00","4.86","58","43","37","19","0","7","2","1","1","0","0","1","7","2","0","1","1","2","8","20.00"
"243","Jared McCann","SEA","L","52","147.55","7","6","3","3","13","72.22","38","18.42","4.43","74","55","39","8","0","8","0","0","0","0","0","1","8","2","4","1","1","3","1","75.00"
"274","Rasmus Andersson","CGY, VGK","D","81","160.91666666667","6","7","4","3","13","59.09","29","20.69","3.82","59","45","21","8","0","6","10","5","5","0","0","2","6","5","0","5","2","0","0","-"
"338","Matthew Tkachuk","FLA","L","31","110.83333333333","4","9","5","4","13","76.47","29","13.79","7.1","59","46","42","25","0","5","4","2","2","0","0","2","10","1","0","0","0","1","1","50.00"
"652","Luke Hughes","N.J","D","68","137.73333333333","2","11","5","6","13","72.22","24","8.33","2.06","57","29","25","4","0","7","2","1","1","0","0","2","11","2","0","3","2","0","0","-"
"662","Brandt Clarke","L.A","D","82","187.73333333333","2","11","6","5","13","61.90","32","6.25","2.94","58","39","21","7","0","8","0","0","0","0","0","1","7","2","2","3","6","0","0","-"
"753","Andrei Kuzmenko","L.A","L","52","155.53333333333","8","5","1","4","13","68.42","24","33.33","3.94","39","35","27","13","0","3","2","1","1","0","0","1","10","2","0","5","0","0","0","-"
"769","Adam Fantilli","CBJ","C","82","213.33333333333","4","9","5","4","13","48.15","51","7.84","7.67","93","66","47","15","0","8","6","3","3","0","0","1","6","1","1","11","1","61","59","50.83"
"801","Beckett Sennecke","ANA","R","82","193.91666666667","1","12","6","6","13","61.90","33","3.03","8.35","63","58","42","32","0","8","10","5","5","0","0","4","7","1","2","9","0","0","0","-"
"806","Zeev Buium","MIN, VAN","D","76","176.03333333333","3","10","6","4","13","56.52","17","17.65","1.43","40","26","13","1","0","4","2","1","1","0","0","0","11","0","2","9","2","0","0","-"
